Data Size,Test 1,Test 2,Test 3,Test 4,Test 5,Æ½¾ùÖµ
100000,0.002,0.004,0.002,0.002,0.004,0.0028
1000000,0.012,0.014,0.017,0.016,0.015,0.0148
10000000,0.173,0.214,0.22,0.238,0.264,0.2218
100000000,1.562,1.974,1.78,3.315,2.823,2.2908
